product_id,product_month,ciiquantity_month
1,2015-12-01,89.0373779297
2,2015-12-01,179.474258423
3,2015-12-01,246.362265015
4,2015-12-01,105.581529236
5,2015-12-01,138.948098755
6,2015-12-01,175.471963501
7,2015-12-01,118.849528504
8,2015-12-01,152.330987548
9,2015-12-01,93.9337753296
10,2015-12-01,141.346618653
11,2015-12-01,88.196862793
12,2015-12-01,266.407531738
13,2015-12-01,112.67827301
14,2015-12-01,149.417581177
15,2015-12-01,138.069961548
16,2015-12-01,34.0569595337
17,2015-12-01,84.2153533935
18,2015-12-01,145.289364624
19,2015-12-01,110.460353089
20,2015-12-01,36.9461151123
21,2015-12-01,97.491758728
22,2015-12-01,56.2158996582
23,2015-12-01,50.5366027832
24,2015-12-01,76.2493652344
25,2015-12-01,157.306799316
26,2015-12-01,86.8261383057
27,2015-12-01,138.494784546
28,2015-12-01,61.2777618408
29,2015-12-01,39.7220207214
30,2015-12-01,49.1215019226
31,2015-12-01,63.1723022461
32,2015-12-01,114.837741089
33,2015-12-01,158.849368286
34,2015-12-01,129.947746277
35,2015-12-01,94.7677032471
36,2015-12-01,90.4322052002
37,2015-12-01,55.1154953003
38,2015-12-01,47.3542343139
39,2015-12-01,153.466265869
40,2015-12-01,121.637409973
41,2015-12-01,85.7172958374
42,2015-12-01,38.7968402863
43,2015-12-01,137.294769287
44,2015-12-01,93.6718551636
45,2015-12-01,123.685124207
46,2015-12-01,110.967628479
47,2015-12-01,146.458575439
48,2015-12-01,67.4674209595
49,2015-12-01,116.66905365
50,2015-12-01,65.1607543945
51,2015-12-01,250.738781738
52,2015-12-01,141.191754151
53,2015-12-01,101.605921936
54,2015-12-01,54.1522468567
55,2015-12-01,383.793634034
56,2015-12-01,130.566351318
57,2015-12-01,103.532693482
58,2015-12-01,141.823635864
59,2015-12-01,92.1482620239
60,2015-12-01,74.9598800659
61,2015-12-01,113.554980469
62,2015-12-01,78.2154174805
63,2015-12-01,71.9644149781
64,2015-12-01,83.4720672608
65,2015-12-01,109.52082367
66,2015-12-01,105.518229675
67,2015-12-01,196.219717407
68,2015-12-01,89.1116867065
69,2015-12-01,41.4178161621
70,2015-12-01,209.564468384
71,2015-12-01,184.493737793
72,2015-12-01,118.533587646
73,2015-12-01,50.1919044495
74,2015-12-01,178.748999024
75,2015-12-01,149.11864624
76,2015-12-01,184.304486084
77,2015-12-01,238.195880127
78,2015-12-01,182.405322266
79,2015-12-01,346.143048096
80,2015-12-01,118.738269043
81,2015-12-01,302.669232178
82,2015-12-01,136.080178833
83,2015-12-01,119.026225281
84,2015-12-01,103.73331604
85,2015-12-01,149.276443481
86,2015-12-01,79.703352356
87,2015-12-01,297.214947509
88,2015-12-01,212.100134277
89,2015-12-01,86.1791534424
90,2015-12-01,76.1586212158
91,2015-12-01,87.2098693848
92,2015-12-01,76.2373428344
93,2015-12-01,83.2619415283
94,2015-12-01,87.4162948609
95,2015-12-01,112.845985413
96,2015-12-01,161.341506958
97,2015-12-01,52.0508087158
98,2015-12-01,80.6198165893
99,2015-12-01,57.0873191833
100,2015-12-01,83.3325057983
